"","source","type","score","phase","gene_id","gene_type","gene_name","level","hgnc_id","havana_gene"
"ENSG00000216613.2","HAVANA","gene",NA,NA,"ENSG00000216613.2","processed_pseudogene","AL023284.2","1",NA,"OTTHUMG00000015644.3"
"ENSG00000216616.1","HAVANA","gene",NA,NA,"ENSG00000216616.1","processed_pseudogene","AL356421.1","1",NA,"OTTHUMG00000014801.1"
"ENSG00000216621.8","HAVANA","gene",NA,NA,"ENSG00000216621.8","transcribed_processed_pseudogene","AL583835.2","1",NA,"OTTHUMG00000015807.3"
"ENSG00000216624.3","HAVANA","gene",NA,NA,"ENSG00000216624.3","transcribed_processed_pseudogene","GAPDHP72","1","HGNC:22955","OTTHUMG00000015992.3"
"ENSG00000216629.1","HAVANA","gene",NA,NA,"ENSG00000216629.1","unprocessed_pseudogene","OR2W4P","2","HGNC:15071","OTTHUMG00000014499.1"
"ENSG00000216636.1","HAVANA","gene",NA,NA,"ENSG00000216636.1","processed_pseudogene","RPL7P25","1","HGNC:36455","OTTHUMG00000014550.1"
"ENSG00000216639.1","HAVANA","gene",NA,NA,"ENSG00000216639.1","processed_pseudogene","AL133406.1","1",NA,"OTTHUMG00000015295.1"
"ENSG00000216642.1","HAVANA","gene",NA,NA,"ENSG00000216642.1","processed_pseudogene","AL136116.1","1",NA,"OTTHUMG00000015723.2"
"ENSG00000216649.3","HAVANA","gene",NA,NA,"ENSG00000216649.3","protein_coding","GAGE12E","2","HGNC:31905","OTTHUMG00000024146.3"
"ENSG00000216657.1","HAVANA","gene",NA,NA,"ENSG00000216657.1","processed_pseudogene","GLRX3P2","1","HGNC:49788","OTTHUMG00000014155.1"
"ENSG00000216663.3","HAVANA","gene",NA,NA,"ENSG00000216663.3","processed_pseudogene","AL365214.1","1",NA,"OTTHUMG00000015391.1"
"ENSG00000216671.6","HAVANA","gene",NA,NA,"ENSG00000216671.6","unprocessed_pseudogene","CCNYL3","2","HGNC:33206","OTTHUMG00000187976.1"
"ENSG00000216676.2","HAVANA","gene",NA,NA,"ENSG00000216676.2","processed_pseudogene","RPL8P1","1","HGNC:13980","OTTHUMG00000016339.2"
